candidate_id,relative_path,filename,extension,width,height,channels,file_size,raw_sha256,mission,instrument,sol,source_id,product_id,sequence_id,source_metadata_status,readable,quality_flags,duplicate_candidate_group,notes
ie1_0735MR0031500040403079E01_DXXX.jpg_df3c82719f99,0735MR0031500040403079E01_DXXX.jpg,0735MR0031500040403079E01_DXXX.jpg,.jpg,1344,1200,3,206747,df3c82719f99ee540209ad180efd60f45619ea2e5a7fafcbdecfc1e60062e081,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,none,true,,sha_df3c82719f99ee54,
ie1_1754616342388.jpeg_990ec5d6f4c1,1754616342388.jpeg,1754616342388.jpeg,.jpeg,1059,2048,3,124886,990ec5d6f4c1ddbf64abb64fdfa2d9e0eef4d2878060f924b4e0cefd2df7ae65,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,none,true,,sha_990ec5d6f4c1ddbf,
ie1_1754616342448.jpeg_724aa50d80c1,1754616342448.jpeg,1754616342448.jpeg,.jpeg,1344,1200,3,225402,724aa50d80c1f33a2d0a45c3b697b7cef630a2f63e04df5759d6d9f6b57831c1,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,none,true,,sha_724aa50d80c1f33a,
ie1_FLF_0020_0668728043_977ECM_N0030770FHAZ02003_07_295J03.png_fee26fa7c63f,FLF_0020_0668728043_977ECM_N0030770FHAZ02003_07_295J03.png,FLF_0020_0668728043_977ECM_N0030770FHAZ02003_07_295J03.png,.png,1280,960,3,1531963,fee26fa7c63ff94bc683457ffff983df980959afdb813ea9356a4d0d98f39e8a,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,none,true,,sha_fee26fa7c63ff94b,
ie1_FRF_0940_0750382098_770ECM_N0460000FHAZ00206_01_295J_calib01_areo.info.jpg_bf98ff703553,FRF_0940_0750382098_770ECM_N0460000FHAZ00206_01_295J_calib01_areo.info.jpg,FRF_0940_0750382098_770ECM_N0460000FHAZ00206_01_295J_calib01_areo.info.jpg,.jpg,1279,959,3,958197,bf98ff703553ca0980adc571fda7ff07ff7be3646bcbbb6890d0bcd3b102717e,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,none,true,,sha_bf98ff703553ca09,
ie1_HSF_0133_0678747651_222ECM_N0090001HELI00002_000085J_calib01_areo.info.jpg_93051532841e,HSF_0133_0678747651_222ECM_N0090001HELI00002_000085J_calib01_areo.info.jpg,HSF_0133_0678747651_222ECM_N0090001HELI00002_000085J_calib01_areo.info.jpg,.jpg,3419,2851,3,6216048,93051532841ece86c79c4067cdb74aaa8704f9e449e9ff6573854658f8b3a31c,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,none,true,,sha_93051532841ece86,
ie1_HSF_0933_0749765607_356ECM_N0610001HELI00003_000085J_calib01_areo.info.jpg_b2fa6c917627,HSF_0933_0749765607_356ECM_N0610001HELI00003_000085J_calib01_areo.info.jpg,HSF_0933_0749765607_356ECM_N0610001HELI00003_000085J_calib01_areo.info.jpg,.jpg,4208,3120,3,8894104,b2fa6c9176272370672c767f1267f42119278cf4d4a190edef604154e59b1cd3,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,none,true,,sha_b2fa6c9176272370,
ie1_Mars_Perseverance_Rover_Sands.png.png_de59f24518cb,Mars_Perseverance_Rover_Sands.png.png,Mars_Perseverance_Rover_Sands.png.png,.png,1296,976,3,2142432,de59f24518cb7b761b42083ff61fa37fc33feefb6c3ee6280706d632abf549cf,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,none,true,,sha_de59f24518cb7b76,
ie1_NLF_1162_0770105883_191ECM_N0524312NCAM02162_XX_195J_calib01_areo.info.jpg_a58fda82eebc,NLF_1162_0770105883_191ECM_N0524312NCAM02162_XX_195J_calib01_areo.info.jpg,NLF_1162_0770105883_191ECM_N0524312NCAM02162_XX_195J_calib01_areo.info.jpg,.jpg,3126,2107,3,3739654,a58fda82eebcbf5290764564e6112b52359172d20dc2979d5b5067f03aa26bf9,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,none,true,,sha_a58fda82eebcbf52,
ie1_train_boulder_curiosity_100_MAST_100_jpg.rf.2fee21bcf27f7dae97562081b23334c0.jpg_72c4734fb9ce,train/boulder/curiosity_100_MAST_100_jpg.rf.2fee21bcf27f7dae97562081b23334c0.jpg,curiosity_100_MAST_100_jpg.rf.2fee21bcf27f7dae97562081b23334c0.jpg,.jpg,640,640,3,58731,72c4734fb9ce4324f843d46224c081b8ca14c75a6571728559fb8db09cb8bc76,Curiosity,Mastcam,UNKNOWN,curiosity_100_mast_100,curiosity_100_mast_100,UNKNOWN,partial,true,path_folder_boulder,sha_72c4734fb9ce4324,
ie1_train_boulder_curiosity_100_MAST_102_jpg.rf.24868fb526b1d328f6932c3ddfa80380.jpg_c7b11d42008a,train/boulder/curiosity_100_MAST_102_jpg.rf.24868fb526b1d328f6932c3ddfa80380.jpg,curiosity_100_MAST_102_jpg.rf.24868fb526b1d328f6932c3ddfa80380.jpg,.jpg,640,640,3,60000,c7b11d42008a6613b03bd24c62ed02f30d0e3f9026b4653056e47bf0c3bed218,Curiosity,Mastcam,UNKNOWN,curiosity_100_mast_102,curiosity_100_mast_102,UNKNOWN,partial,true,path_folder_boulder,sha_c7b11d42008a6613,
ie1_train_boulder_curiosity_100_MAST_103_jpg.rf.63f0e0d88313e3054c9661e07f19d31d.jpg_5951dd7f75f8,train/boulder/curiosity_100_MAST_103_jpg.rf.63f0e0d88313e3054c9661e07f19d31d.jpg,curiosity_100_MAST_103_jpg.rf.63f0e0d88313e3054c9661e07f19d31d.jpg,.jpg,640,640,3,61712,5951dd7f75f86c070505c34788a0731d2c48e6fe55fcbd3f4af1bba9b41e0ec5,Curiosity,Mastcam,UNKNOWN,curiosity_100_mast_103,curiosity_100_mast_103,UNKNOWN,partial,true,path_folder_boulder,sha_5951dd7f75f86c07,
ie1_train_boulder_curiosity_100_MAST_106_jpg.rf.78c4b8fcf62f2b932ebccf43bd427980.jpg_4dd2d929c0ee,train/boulder/curiosity_100_MAST_106_jpg.rf.78c4b8fcf62f2b932ebccf43bd427980.jpg,curiosity_100_MAST_106_jpg.rf.78c4b8fcf62f2b932ebccf43bd427980.jpg,.jpg,640,640,3,62431,4dd2d929c0ee66f91b17c3f73b8bf127f23b6f6775511da3a735e927fbf2291a,Curiosity,Mastcam,UNKNOWN,curiosity_100_mast_106,curiosity_100_mast_106,UNKNOWN,partial,true,path_folder_boulder,sha_4dd2d929c0ee66f9,
